source,target,weight
tarahumara indians,tener,2
tarahumara indians,nación,2
tarahumara indians,matar,1
tarahumara indians,indio,4
tarahumara indians,religioso,1
tarahumara indians,dar,1
tarahumara indians,demolir,1
concho indians,referido,2
tarahumara indians,tepoca,4
seri indians,practicar,1
seri indians,tepoca,2
apache indians,extraer,1
seri indians,pima,1
seri indians,cometer,1
seri indians,coligado,2
