source,target,weight,source_clean
Seri Indians,san lorenzo,1,seri indians
Seri Indians,yaqui,2,seri indians
Seri Indians,conde de la monclova,1,seri indians
Seri Indians,marqués de valero,1,seri indians
Seri Indians,río yaqui,2,seri indians
Seri Indians,marqués de casa fuerte,1,seri indians
Seri Indians,manuel de agramonte,1,seri indians
Seri Indians,fernando bayerca,1,seri indians
Seri Indians,teuricachi,1,seri indians
Seri Indians,california,4,seri indians
Seri Indians,nueva galicia,1,seri indians
Seri Indians,californias,2,seri indians
Seri Indians,audiencia de lima,1,seri indians
Seri Indians,andrés de rezaval,1,seri indians
Seri Indians,joseph lópez zapata,1,seri indians
Seri Indians,guadalajara,2,seri indians
Apache Indians,manuel bernal,1,apache indians
Seri Indians,manuel bernal,1,seri indians
Apache Indians,terrenate,3,apache indians
Apache Indians,Seri Indians,5,apache indians
Apache Indians,santa rosa,2,apache indians
Apache Indians,manuel bernal de huidobro,1,apache indians
Apache Indians,huidobro,1,apache indians
Apache Indians,corodéguachi,3,apache indians
Apache Indians,tepocas,1,apache indians
Seri Indians,terrenate,2,seri indians
Seri Indians,moqui,1,seri indians
Seri Indians,santa rosa,2,seri indians
Seri Indians,manuel bernal de huidobro,1,seri indians
Seri Indians,nuevo méxico,1,seri indians
Seri Indians,huidobro,1,seri indians
Seri Indians,aranjuez,2,seri indians
Seri Indians,corodéguachi,2,seri indians
Seri Indians,tepocas,2,seri indians
Apache Indians,nueva andalucía,1,apache indians
Apache Indians,pimería,3,apache indians
Apache Indians,madrid,4,apache indians
Apache Indians,pimería alta,2,apache indians
Apache Indians,gabriel de prudhon,1,apache indians
Apache Indians,juan bautista de anza,1,apache indians
Apache Indians,río del norte,1,apache indians
Apache Indians,sierra azul,1,apache indians
Apache Indians,pimas altos,3,apache indians
Apache Indians,colorado,2,apache indians
Apache Indians,obispo de durango,1,apache indians
Apache Indians,consejo de indias,1,apache indians
Apache Indians,don agustín,1,apache indians
Apache Indians,vildosola,1,apache indians
Apache Indians,agustín de vildosola,1,apache indians
Seri Indians,consejo de indias,1,seri indians
Seri Indians,apaches,4,seri indians
Seri Indians,don agustín,1,seri indians
Seri Indians,vildosola,1,seri indians
Seri Indians,madrid,5,seri indians
Seri Indians,agustín de vildosola,1,seri indians
Apache Indians,diego ortiz parrilla,3,apache indians
Apache Indians,presidio de san pedro,1,apache indians
Apache Indians,parrilla,3,apache indians
Apache Indians,jacobo sedelmayr,1,apache indians
Apache Indians,sánchez salvador,1,apache indians
Apache Indians,san bartolomé,1,apache indians
Apache Indians,chihuahua,1,apache indians
Apache Indians,camino real de la nueva vizcaya,1,apache indians
Apache Indians,yaqui,1,apache indians
Apache Indians,américa,1,apache indians
Apache Indians,tomás tello,1,apache indians
Apache Indians,caborca,2,apache indians
Apache Indians,islas marías,1,apache indians
Apache Indians,santa maría soamca,1,apache indians
Apache Indians,menocal,1,apache indians
Apache Indians,río yaqui,1,apache indians
Apache Indians,buen retiro,1,apache indians
Apache Indians,enrique ruhen,1,apache indians
Apache Indians,tubutama,2,apache indians
Apache Indians,tiburón,1,apache indians
Apache Indians,guevavi,1,apache indians
Apache Indians,cristóbal de escobar y llamas,1,apache indians
Apache Indians,pedro ignacio altamirano,1,apache indians
Apache Indians,santa ana,1,apache indians
Apache Indians,mapimí,1,apache indians
Apache Indians,luis oacpicagigua,1,apache indians
Seri Indians,jacobo sedelmayr,1,seri indians
Seri Indians,sánchez salvador,1,seri indians
Seri Indians,san bartolomé,1,seri indians
Seri Indians,chihuahua,1,seri indians
Seri Indians,gallo,1,seri indians
Seri Indians,camino real de la nueva vizcaya,1,seri indians
Seri Indians,pimería,2,seri indians
Seri Indians,pimería alta,1,seri indians
Seri Indians,cerro gordo,1,seri indians
Seri Indians,américa,1,seri indians
Seri Indians,anza,3,seri indians
Seri Indians,tomás tello,1,seri indians
Seri Indians,caborca,2,seri indians
Seri Indians,islas marías,1,seri indians
Seri Indians,conde de san pedro del álamo,1,seri indians
Seri Indians,santa maría soamca,1,seri indians
Seri Indians,menocal,1,seri indians
Seri Indians,buen retiro,1,seri indians
Seri Indians,enrique ruhen,1,seri indians
Seri Indians,presidio del pasaje,1,seri indians
Seri Indians,del pasaje,1,seri indians
Seri Indians,tubutama,2,seri indians
Seri Indians,guevavi,1,seri indians
Seri Indians,cristóbal de escobar y llamas,1,seri indians
Seri Indians,pedro ignacio altamirano,1,seri indians
Seri Indians,santa ana,1,seri indians
Seri Indians,el gallo,1,seri indians
Seri Indians,mapimí,1,seri indians
Seri Indians,luis oacpicagigua,1,seri indians
Apache Indians,el jorge,1,apache indians
Apache Indians,el jason,1,apache indians
Seri Indians,el jorge,1,seri indians
Seri Indians,el jason,1,seri indians
Seri Indians,bernardo de urrea,1,seri indians
Apache Indians,ignacio lizasoáin,1,apache indians
Seri Indians,ignacio lizasoáin,1,seri indians
